App,Title,Description,Steps
Instagram,Private Account,Restrict posts and profile visibility to approved followers only,1. Open Profile|2. Tap Menu icon|3. Go to Settings and Privacy|4. Tap Account Privacy|5. Toggle Private Account on
Instagram,Activity Status Off,Hide your last seen and online status from other users,1. Open Settings and Privacy|2. Tap Messages and Story Replies|3. Toggle Show Activity Status off
Instagram,Disable Story Resharing,Prevent others from resharing your stories to their own,1. Open Settings and Privacy|2. Tap Story|3. Toggle Allow Resharing to Stories off
Instagram,Manual Tag Approval,Review and approve tags before they appear on your profile,1. Open Settings and Privacy|2. Tap Tags and Mentions|3. Set Allow Tags to Manually Approve
Instagram,Limit Ad Data Usage,Reduce data used for ad targeting under Ad Preferences,1. Open Settings and Privacy|2. Tap Ads|3. Tap Ad Topics|4. Turn off unwanted topics
Instagram,Two-Factor Authentication,Enable 2FA using an authenticator app instead of SMS,1. Open Settings and Privacy|2. Tap Accounts Center|3. Tap Password and Security|4. Tap Two-Factor Authentication|5. Select Authentication App
Instagram,Review Login Activity,Check and log out unrecognized active sessions,1. Open Settings and Privacy|2. Tap Accounts Center|3. Tap Password and Security|4. Tap Where You Are Logged In|5. Log out unrecognized devices
Instagram,Revoke Third-Party App Access,Remove unused apps and websites connected to your account,1. Open Settings and Privacy|2. Tap Accounts Center|3. Tap Apps and Websites|4. Remove unused connections
Instagram,Strip Location From Posts,Disable precise location sharing for the app in OS settings,1. Open phone Settings|2. Go to Apps or Privacy|3. Select Instagram|4. Set Location permission to Never or While Using with Precise Location off
Instagram,Download Your Information,Periodically audit stored data via the data export tool,1. Open Settings and Privacy|2. Tap Accounts Center|3. Tap Your Information and Permissions|4. Tap Download Your Information|5. Request export
Twitter,Protect Your Posts,Make your account private so only approved followers see posts,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Audience and Tagging|4. Toggle Protect Your Posts on
Twitter,Photo Tagging Restriction,Limit who can tag you in photos to people you follow,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Audience and Tagging|4. Set Photo Tagging to People You Follow
Twitter,Disable Discoverability,Prevent others from finding your account via email or phone,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Discoverability and Contacts|4. Turn off email and phone discoverability
Twitter,Turn Off Ad Personalization,Disable use of off-platform activity for ad targeting,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Ads Preferences|4. Turn off Personalized Ads
Twitter,Remove Location From Posts,Stop attaching location metadata to tweets,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Location Information|4. Turn off Add Location to Tweets
Twitter,Two-Factor Authentication,Use an authenticator app or security key instead of SMS,1. Open Settings and Privacy|2. Tap Security and Account Access|3. Tap Security|4. Tap Two-Factor Authentication|5. Select Authenticator App or Security Key
Twitter,Revoke Connected Apps,Remove unused OAuth app permissions from your account,1. Open Settings and Privacy|2. Tap Security and Account Access|3. Tap Apps and Sessions|4. Tap Connected Apps|5. Revoke unused apps
Twitter,Restrict Direct Messages,Disable receiving DMs from accounts you do not follow,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Direct Messages|4. Turn off Allow Message Requests From Everyone
Twitter,Keyword Mute Filters,Reduce unwanted content exposure using mute and block filters,1. Open Settings and Privacy|2. Tap Privacy and Safety|3. Tap Mute and Block|4. Tap Muted Keywords|5. Add keywords to mute
WhatsApp,Restrict Last Seen and About,Limit visibility of last seen and photo and about to contacts only,1. Open Settings|2. Tap Privacy|3. Set Last Seen and Online to My Contacts|4. Set Profile Photo and About similarly
WhatsApp,Disable Read Receipts,Prevent senders from seeing when you have read their messages,1. Open Settings|2. Tap Privacy|3. Toggle Read Receipts off
WhatsApp,Restrict Group Invites,Allow only your contacts to add you to groups,1. Open Settings|2. Tap Privacy|3. Tap Groups|4. Set to My Contacts
WhatsApp,Enable Disappearing Messages,Set new chats to auto-delete messages by default,1. Open Settings|2. Tap Privacy|3. Tap Default Message Timer|4. Set duration for new chats
